ptaz,ataz,da,s2,s3,wt,dt,wk,bk
649,649,0.15846485057649548,0.033956753694963315,0.005659458949160553,0.0,0.0,0.19748771050504532,0.004431226274335204
649,652,1.8396632296375492,0.08196519339969283,0.018214487422153963,0.0,0.0,0.1601271089517141,0.04002998058888908
649,658,0.10876615629155524,0.009887832390141387,0.0,0.0,0.0,0.00033255528817770474,0.001013456030125698
649,660,0.03903458470997105,0.0,0.0,0.0,0.0,0.0003994144244323224,0.0005660008655966329
649,661,0.13616928820401936,0.009726377728858522,0.0,0.0,0.0,0.0017118458304371956,0.0023924882366849146
649,663,0.14780091396000364,0.009237557122500227,0.0,0.0,0.0,0.010088435401530545,0.002873093515965616
649,710,0.08000000000000003,0.010000000000000005,0.0,0.0,0.0,0.0,0.0
649,1079,0.11833605257461675,0.009861337714551395,0.0,0.0,0.0,0.0005244676114814854,0.001278142099350358
649,1080,0.45822738603359403,0.0292485565553358,0.009749518851778594,0.0,0.0,0.005696366115736064,0.0070781724435556815
649,1081,0.4493746642477546,0.029307043320505724,0.009769014440168576,0.0,0.0,0.005017205564538899,0.006532072427032095
649,1084,0.0591747209974333,0.0,0.0,0.0,0.0,0.00032631073802429647,0.0004989682645423842
649,1085,0.09935446660327456,0.009935446660327456,0.0,0.0,0.0,0.00022918483117376695,0.00048090190522423606
649,1088,0.09942096763035818,0.00994209676303582,0.0,0.0,0.0,0.0,0.0006369356066059872
649,1126,0.17,0.02,0.01,0.0,0.0,0.0,0.0
649,1127,0.2,0.02,0.01,0.0,0.0,0.0,0.0
649,1128,0.03,0.0,0.0,0.0,0.0,0.0,0.0
649,1132,0.2,0.02,0.01,0.0,0.0,0.0,0.0
649,1133,0.02,0.0,0.0,0.0,0.0,0.0,0.0
652,649,0.4532343248736909,0.018129372994947632,0.009064686497473816,0.0,0.0,0.039657648478695566,0.00991396715519215
652,652,1.4145472098903504,0.2794871503412385,0.03422291636831495,0.0,0.0,1.7230802741565208,0.03866244924357454
