,oid_,id,zone_id,co_tazid,tazid,co_fips,co_name,residentia,households,population,jobs1,jobs3,jobs4,jobs5,jobs6,jobs7,jobs9,jobs10,avgincome,enrol_elem,enrol_midl,enrol_high,hhsize_lc1,hhsize_lc2,hhsize_lc3,pct_poplc1,pct_poplc2,pct_poplc3,pct_ag1,pct_ag2,pct_ag3,inc1,inc2,inc3,inc4,park_score,park_area,school_cd,coll_enrol,th_score,comm_rail,light_rail,gqu_ratio,node_id,jobs_total,mixed_use,area_sqmil
36,36,0,36,351027,1027,35,SALT LAKE,0,4,15,0,0,0,0,0,1,0,0,41264.9725,0.0,0.0,0.0,2.175275,5.127,2.077025,0.32295,0.53,0.14705,0.18705,0.6759,0.13705,0.252709256,0.243274267,0.293752778,0.2102637,0,0,0,0,0,0,0,0.0,84975,1,0.8,0.0617763
93,93,0,93,350950,950,35,SALT LAKE,0,110,325,101,237,0,0,761,874,334,58,39628.185,0.0,0.421430769,0.421430769,1.48905,3.4995,1.44665,0.29695,0.5787,0.12435,0.0946,0.7825,0.1229,0.390095691,0.269586453,0.223076678,0.117241178,0,0,1,1996,0,0,1,0.0,74223,1973,104.1910706,0.0617763
118,118,0,118,351127,1127,35,SALT LAKE,0,230,556,8,117,0,2,10,32,0,0,29523.755,0.276393885,0.0,0.0,1.538975,3.63435,1.5314,0.3332,0.562625,0.104175,0.20395,0.701875,0.094175,0.486020781,0.277570988,0.160074249,0.076333983,0,0,3,0,0,0,0,0.0,71092,169,97.41854637,0.0617763
140,140,0,140,350805,805,35,SALT LAKE,0,0,0,9,6,0,7,1,15,24,21,24629.765,0.0,0.0,0.0,0.7759,1.828525,0.735375,0.11385,0.83785,0.0483,0.0621,0.89305,0.04485,0.663781818,0.288127273,0.038727273,0.009363636,1,7648,0,0,0,0,0,0.0,70967,38,0.0,0.0617763
151,151,0,151,351055,1055,35,SALT LAKE,0,25,70,0,0,0,0,0,0,0,0,118818.275,0.0,0.0,0.0,1.7812,4.29885,1.7241,0.3053,0.50185,0.19285,0.1722,0.64495,0.18285,0.013230287,0.030373922,0.155638676,0.800757115,3,4337,0,0,0,0,0,0.021691671,76295,0,0.0,0.0617763
157,157,0,157,351023,1023,35,SALT LAKE,0,191,365,19,59,76,32,37,140,46,0,22053.575,0.306082192,0.306082192,0.0,1.541725,3.537875,1.4943,0.26735,0.421025,0.311625,0.1263,0.56445,0.30925,0.652609147,0.287674634,0.045877756,0.013838463,0,0,3,0,0,0,0,0.0,72939,363,125.1498195,0.0617763
190,190,0,190,351075,1075,35,SALT LAKE,0,0,0,0,1048,0,0,0,0,0,0,208873.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.749119997,73991,1048,0.0,0.0617763
195,195,0,195,351027,1027,35,SALT LAKE,0,0,0,0,6,1,53,3,34,0,42,39739.0,0.0,0.0,0.0,2.16,5.08,2.05,0.33,0.53,0.14,0.18,0.69,0.13,0.362880886,0.265927978,0.239612188,0.131578947,0,0,0,0,0,0,0,0.0,75829,97,0.0,0.0617763
211,211,0,211,350784,784,35,SALT LAKE,0,180,489,0,18,0,25,8,31,0,43,39604.3,0.598364008,0.0,0.0,1.594,3.666,1.572,0.2745,0.6365,0.089,0.342,0.579,0.079,0.525208188,0.283507266,0.138527009,0.052757537,0,0,0,0,0,0,0,0.0,76400,82,56.33587786,0.0617763
240,240,0,241,350944,944,35,SALT LAKE,0,649,1398,61,0,48,0,0,16,1,14,40896.245,0.028383405,0.0,0.0,1.741025,4.14865,1.692025,0.3435,0.5653,0.0912,0.18825,0.7253,0.08645,0.360870909,0.265857017,0.240382359,0.132889715,0,0,0,0,0,0,0,0.0,74172,125,104.8126615,0.0617763
242,242,0,243,351027,1027,35,SALT LAKE,0,0,0,1,9,0,23,2,1,0,55,54540.25,0.0,0.0,0.0,1.491,3.50685,1.4257,0.226,0.67545,0.09855,0.18875,0.72235,0.0889,0.362830364,0.266118891,0.239442065,0.13160868,0,0,0,0,0,0,0,0.0,79606,36,0.0,0.0617763
